id,name,rate_region_id:id
external_rate_country_Afghanistan,Afghanistan,external_id_rate_region_EMEA
external_rate_country_Akrotiri_and_Dhekelia,Akrotiri and Dhekelia,external_id_rate_region_EMEA
external_rate_country_land_Islands,land Islands,external_id_rate_region_EMEA
external_rate_country_Albania,Albania,external_id_rate_region_EMEA
external_rate_country_Algeria,Algeria,external_id_rate_region_EMEA
external_rate_country_American_Samoa,American Samoa,external_id_rate_region_APAC
external_rate_country_Andorra,Andorra,external_id_rate_region_EMEA
external_rate_country_Angola,Angola,external_id_rate_region_EMEA
external_rate_country_Anguilla,Anguilla,external_id_rate_region_LATAM
external_rate_country_Antigua_and_Barbuda,Antigua and Barbuda,external_id_rate_region_LATAM
external_rate_country_Argentina,Argentina,external_id_rate_region_LATAM
external_rate_country_Armenia,Armenia,external_id_rate_region_EMEA
external_rate_country_Aruba,Aruba,external_id_rate_region_LATAM
external_rate_country_Australia,Australia,external_id_rate_region_APAC
external_rate_country_Austria,Austria,external_id_rate_region_EMEA
external_rate_country_Azerbaijan,Azerbaijan,external_id_rate_region_EMEA
external_rate_country_Bahamas,Bahamas,external_id_rate_region_LATAM
external_rate_country_Bahrain,Bahrain,external_id_rate_region_EMEA
external_rate_country_Bangladesh,Bangladesh,external_id_rate_region_APAC
external_rate_country_Barbados,Barbados,external_id_rate_region_LATAM
external_rate_country_Belarus,Belarus,external_id_rate_region_EMEA
external_rate_country_Belgium,Belgium,external_id_rate_region_EMEA
external_rate_country_Belize,Belize,external_id_rate_region_LATAM
external_rate_country_Benin,Benin,external_id_rate_region_EMEA
external_rate_country_Bermuda,Bermuda,external_id_rate_region_LATAM
external_rate_country_Bhutan,Bhutan,external_id_rate_region_APAC
external_rate_country_Bolivia,Bolivia,external_id_rate_region_LATAM
external_rate_country_Bonaire_Sint_Eustatius_and_Saba,Bonaire,external_id_rate_region_LATAM
external_rate_country_Bosnia_and_Herzegovina,Bosnia and Herzegovina,external_id_rate_region_EMEA
external_rate_country_Botswana,Botswana,external_id_rate_region_EMEA
external_rate_country_Brazil,Brazil,external_id_rate_region_LATAM
external_rate_country_British_Indian_Ocean_Territory,British Indian Ocean Territory,external_id_rate_region_EMEA
external_rate_country_British_Virgin_Islands,British Virgin Islands,external_id_rate_region_LATAM
external_rate_country_Brunei,Brunei,external_id_rate_region_APAC
external_rate_country_Bulgaria,Bulgaria,external_id_rate_region_EMEA
external_rate_country_Burkina_Faso,Burkina Faso,external_id_rate_region_EMEA
external_rate_country_Burma,Burma,external_id_rate_region_APAC
external_rate_country_Burundi,Burundi,external_id_rate_region_EMEA
external_rate_country_Cabo_Verde,Cabo Verde,external_id_rate_region_EMEA
external_rate_country_Cambodia,Cambodia,external_id_rate_region_APAC
external_rate_country_Cameroon,Cameroon,external_id_rate_region_EMEA
external_rate_country_Canada,Canada,external_id_rate_region_LATAM
external_rate_country_Cayman_Islands,Cayman Islands,external_id_rate_region_LATAM
external_rate_country_Central_African_Republic,Central African Republic,external_id_rate_region_EMEA
external_rate_country_Chad,Chad,external_id_rate_region_EMEA
external_rate_country_Chile,Chile,external_id_rate_region_LATAM
external_rate_country_China,China,external_id_rate_region_APAC
external_rate_country_Christmas_Island,Christmas Island,external_id_rate_region_APAC
external_rate_country_Cocos,Cocos,external_id_rate_region_APAC
external_rate_country_Colombia,Colombia,external_id_rate_region_LATAM
external_rate_country_Comoros,Comoros,external_id_rate_region_EMEA
external_rate_country_Congo_(Brazzaville),Congo (Brazzaville),external_id_rate_region_EMEA
external_rate_country_Congo_(Kinshasa),Congo (Kinshasa),external_id_rate_region_EMEA
external_rate_country_Cook_Islands,Cook Islands,external_id_rate_region_APAC
external_rate_country_Costa_Rica,Costa Rica,external_id_rate_region_LATAM
external_rate_country_Cte_dIvoire,Cte dIvoire,external_id_rate_region_EMEA
external_rate_country_Croatia,Croatia,external_id_rate_region_EMEA
external_rate_country_Cuba,Cuba,external_id_rate_region_LATAM
external_rate_country_Curaao,Curaao,external_id_rate_region_LATAM
external_rate_country_Cyprus,Cyprus,external_id_rate_region_EMEA
external_rate_country_Czech_Republic,Czech Republic,external_id_rate_region_EMEA
external_rate_country_Denmark,Denmark,external_id_rate_region_EMEA
external_rate_country_Djibouti,Djibouti,external_id_rate_region_EMEA
external_rate_country_Dominica,Dominica,external_id_rate_region_LATAM
external_rate_country_Dominican_Republic,Dominican Republic,external_id_rate_region_LATAM
external_rate_country_Ecuador,Ecuador,external_id_rate_region_LATAM
external_rate_country_Egypt,Egypt,external_id_rate_region_EMEA
external_rate_country_El_Salvador,El Salvador,external_id_rate_region_LATAM
external_rate_country_Equatorial_Guinea,Equatorial Guinea,external_id_rate_region_EMEA
external_rate_country_Eritrea,Eritrea,external_id_rate_region_EMEA
external_rate_country_Estonia,Estonia,external_id_rate_region_EMEA
external_rate_country_Eswatini,Eswatini,external_id_rate_region_EMEA
external_rate_country_Ethiopia,Ethiopia,external_id_rate_region_EMEA
external_rate_country_Falkland_Islands,Falkland Islands,external_id_rate_region_LATAM
external_rate_country_Faroe_Islands,Faroe Islands,external_id_rate_region_EMEA
external_rate_country_Fiji,Fiji,external_id_rate_region_APAC
external_rate_country_Finland,Finland,external_id_rate_region_EMEA
external_rate_country_France,France,external_id_rate_region_EMEA
external_rate_country_French_Guiana,French Guiana,external_id_rate_region_LATAM
external_rate_country_French_Polynesia,French Polynesia,external_id_rate_region_APAC
external_rate_country_Gaza_Strip,Gaza_Strip,external_id_rate_region_APAC
external_rate_country_Gabon,Gabon,external_id_rate_region_EMEA
external_rate_country_Gambia,Gambia,external_id_rate_region_EMEA
external_rate_country_Georgia,Georgia,external_id_rate_region_EMEA
external_rate_country_Germany,Germany,external_id_rate_region_EMEA
external_rate_country_Ghana,Ghana,external_id_rate_region_EMEA
external_rate_country_Gibraltar,Gibraltar,external_id_rate_region_EMEA
external_rate_country_Greece,Greece,external_id_rate_region_EMEA
external_rate_country_Greenland,Greenland,external_id_rate_region_EMEA
external_rate_country_Grenada,Grenada,external_id_rate_region_LATAM
external_rate_country_Guadeloupe,Guadeloupe,external_id_rate_region_LATAM
external_rate_country_Guam,Guam,external_id_rate_region_APAC
external_rate_country_Guatemala,Guatemala,external_id_rate_region_LATAM
external_rate_country_Guernsey,Guernsey,external_id_rate_region_LATAM
external_rate_country_Guinea,Guinea,external_id_rate_region_EMEA
external_rate_country_Guinea-Bissau,Guinea-Bissau,external_id_rate_region_EMEA
external_rate_country_Guyana,Guyana,external_id_rate_region_LATAM
external_rate_country_Haiti,Haiti,external_id_rate_region_LATAM
external_rate_country_Honduras,Honduras,external_id_rate_region_LATAM
external_rate_country_Hong_Kong,Hong Kong,external_id_rate_region_APAC
external_rate_country_Hungary,Hungary,external_id_rate_region_EMEA
external_rate_country_Iceland,Iceland,external_id_rate_region_EMEA
external_rate_country_India,India,external_id_rate_region_APAC
external_rate_country_Indonesia,Indonesia,external_id_rate_region_APAC
external_rate_country_Iran,Iran,external_id_rate_region_EMEA
external_rate_country_Iraq,Iraq,external_id_rate_region_EMEA
external_rate_country_Ireland,Ireland,external_id_rate_region_EMEA
external_rate_country_Isle_of_Man,Isle of Man,external_id_rate_region_EMEA
external_rate_country_Israel,Israel,external_id_rate_region_EMEA
external_rate_country_Italy,Italy,external_id_rate_region_EMEA
external_rate_country_Jamaica,Jamaica,external_id_rate_region_LATAM
external_rate_country_Japan,Japan,external_id_rate_region_APAC
external_rate_country_Jersey,Jersey,external_id_rate_region_EMEA
external_rate_country_Jordan,Jordan,external_id_rate_region_EMEA
external_rate_country_Kazakhstan,Kazakhstan,external_id_rate_region_APAC
external_rate_country_Kenya,Kenya,external_id_rate_region_EMEA
external_rate_country_Kiribati,Kiribati,external_id_rate_region_APAC
external_rate_country_Kosovo,Kosovo,external_id_rate_region_EMEA
external_rate_country_Kuwait,Kuwait,external_id_rate_region_EMEA
external_rate_country_Kyrgyzstan,Kyrgyzstan,external_id_rate_region_APAC
external_rate_country_Laos,Laos,external_id_rate_region_APAC
external_rate_country_Latvia,Latvia,external_id_rate_region_EMEA
external_rate_country_Lebanon,Lebanon,external_id_rate_region_EMEA
external_rate_country_Lesotho,Lesotho,external_id_rate_region_EMEA
external_rate_country_Liberia,Liberia,external_id_rate_region_EMEA
external_rate_country_Libya,Libya,external_id_rate_region_EMEA
external_rate_country_Liechtenstein,Liechtenstein,external_id_rate_region_EMEA
external_rate_country_Lithuania,Lithuania,external_id_rate_region_EMEA
external_rate_country_Luxembourg,Luxembourg,external_id_rate_region_EMEA
external_rate_country_Macau,Macau,external_id_rate_region_APAC
external_rate_country_Madagascar,Madagascar,external_id_rate_region_EMEA
external_rate_country_Malawi,Malawi,external_id_rate_region_EMEA
external_rate_country_Malaysia,Malaysia,external_id_rate_region_APAC
external_rate_country_Maldives,Maldives,external_id_rate_region_APAC
external_rate_country_Mali,Mali,external_id_rate_region_EMEA
external_rate_country_Malta,Malta,external_id_rate_region_EMEA
external_rate_country_Marshall_Islands,Marshall Islands,external_id_rate_region_APAC
external_rate_country_Martinique,Martinique,external_id_rate_region_LATAM
external_rate_country_Mauritania,Mauritania,external_id_rate_region_EMEA
external_rate_country_Mauritius,Mauritius,external_id_rate_region_EMEA
external_rate_country_Mayotte,Mayotte,external_id_rate_region_EMEA
external_rate_country_Mexico,Mexico,external_id_rate_region_LATAM
external_rate_country_Micronesia,Micronesia,external_id_rate_region_APAC
external_rate_country_Moldova,Moldova,external_id_rate_region_EMEA
external_rate_country_Monaco,Monaco,external_id_rate_region_EMEA
external_rate_country_Mongolia,Mongolia,external_id_rate_region_APAC
external_rate_country_Montenegro,Montenegro,external_id_rate_region_EMEA
external_rate_country_Montserrat,Montserrat,external_id_rate_region_LATAM
external_rate_country_Morocco,Morocco,external_id_rate_region_EMEA
external_rate_country_Mozambique,Mozambique,external_id_rate_region_EMEA
external_rate_country_Myanmar,Myanmar,external_id_rate_region_APAC
external_rate_country_Namibia,Namibia,external_id_rate_region_EMEA
external_rate_country_Nauru,Nauru,external_id_rate_region_APAC
external_rate_country_Nepal,Nepal,external_id_rate_region_APAC
external_rate_country_Netherlands,Netherlands,external_id_rate_region_EMEA
external_rate_country_New_Caledonia,New Caledonia,external_id_rate_region_APAC
external_rate_country_New_Zealand,New Zealand,external_id_rate_region_APAC
external_rate_country_Nicaragua,Nicaragua,external_id_rate_region_LATAM
external_rate_country_Niger,Niger,external_id_rate_region_EMEA
external_rate_country_Nigeria,Nigeria,external_id_rate_region_EMEA
external_rate_country_Niue,Niue,external_id_rate_region_APAC
external_rate_country_Norfolk_Island,Norfolk Island,external_id_rate_region_APAC
external_rate_country_North_Macedonia,North Macedonia,external_id_rate_region_EMEA
external_rate_country_Northern_Mariana_Islands,Northern Mariana Islands,external_id_rate_region_APAC
external_rate_country_Norway,Norway,external_id_rate_region_EMEA
external_rate_country_Oman,Oman,external_id_rate_region_EMEA
external_rate_country_Pakistan,Pakistan,external_id_rate_region_APAC
external_rate_country_Palau,Palau,external_id_rate_region_APAC
external_rate_country_Panama,Panama,external_id_rate_region_LATAM
external_rate_country_Papua_New_Guinea,Papua New Guinea,external_id_rate_region_APAC
external_rate_country_Paraguay,Paraguay,external_id_rate_region_LATAM
external_rate_country_Peru,Peru,external_id_rate_region_LATAM
external_rate_country_Philippines,Philippines,external_id_rate_region_APAC
external_rate_country_Pitcairn_Islands,Pitcairn Islands,external_id_rate_region_LATAM
external_rate_country_Poland,Poland,external_id_rate_region_EMEA
external_rate_country_Portugal,Portugal,external_id_rate_region_EMEA
external_rate_country_Puerto_Rico,Puerto Rico,external_id_rate_region_LATAM
external_rate_country_Qatar,Qatar,external_id_rate_region_EMEA
external_rate_country_Reunion,Reunion,external_id_rate_region_LATAM
external_rate_country_Romania,Romania,external_id_rate_region_EMEA
external_rate_country_Russia,Russia,external_id_rate_region_EMEA
external_rate_country_Rwanda,Rwanda,external_id_rate_region_EMEA
external_rate_country_Saint_Barthelemy,Saint Barthelemy,external_id_rate_region_LATAM
"external_rate_country_Saint_Helena,_Ascension,_and_Tristan_da_Cunha","Saint_Helena,_Ascension,_and_Tristan_da_Cunha",external_id_rate_region_LATAM
external_rate_country_Saint_Kitts_and_Nevis,Saint Kitts and Nevis,external_id_rate_region_LATAM
external_rate_country_Saint_Lucia,Saint Lucia,external_id_rate_region_LATAM
external_rate_country_Saint_Martin,Saint Martin,external_id_rate_region_LATAM
external_rate_country_Saint_Pierre_and_Miquelon,Saint Pierre and Miquelon,external_id_rate_region_LATAM
external_rate_country_Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines,external_id_rate_region_LATAM
external_rate_country_Samoa,Samoa,external_id_rate_region_APAC
external_rate_country_San_Marino,San Marino,external_id_rate_region_EMEA
external_rate_country_Sao_Tome_and_Principe,Sao Tome and Principe,external_id_rate_region_EMEA
external_rate_country_Saudi_Arabia,Saudi Arabia,external_id_rate_region_EMEA
external_rate_country_Senegal,Senegal,external_id_rate_region_EMEA
external_rate_country_Serbia,Serbia,external_id_rate_region_EMEA
external_rate_country_Seychelles,Seychelles,external_id_rate_region_EMEA
external_rate_country_Sierra_Leone,Sierra Leone,external_id_rate_region_EMEA
external_rate_country_Singapore,Singapore,external_id_rate_region_APAC
external_rate_country_Sint_Maarten,Sint Maarten,external_id_rate_region_LATAM
external_rate_country_Slovakia,Slovakia,external_id_rate_region_EMEA
external_rate_country_Slovenia,Slovenia,external_id_rate_region_EMEA
external_rate_country_Solomon_Islands,Solomon Islands,external_id_rate_region_APAC
external_rate_country_Somalia,Somalia,external_id_rate_region_EMEA
external_rate_country_South_Africa,South Africa,external_id_rate_region_EMEA
external_rate_country_South_Georgia_and_South_Sandwich_Islands,South Georgia and the South Sandwich Islands,external_id_rate_region_LATAM
external_rate_country_Korea_North,North Korea,external_id_rate_region_APAC
external_rate_country_South_Korea,South Korea,external_id_rate_region_APAC
external_rate_country_South_Sudan,South Sudan,external_id_rate_region_EMEA
external_rate_country_Spain,Spain,external_id_rate_region_EMEA
external_rate_country_Sri_Lanka,Sri Lanka,external_id_rate_region_APAC
external_rate_country_Sudan,Sudan,external_id_rate_region_EMEA
external_rate_country_Suriname,Suriname,external_id_rate_region_LATAM
external_rate_country_Svalbard_and_Jan_Mayen,Svalbard and Jan Mayen,external_id_rate_region_EMEA
external_rate_country_Sweden,Sweden,external_id_rate_region_EMEA
external_rate_country_Switzerland,Switzerland,external_id_rate_region_EMEA
external_rate_country_Syria,Syria,external_id_rate_region_EMEA
external_rate_country_Taiwan,Taiwan,external_id_rate_region_EMEA
external_rate_country_Tajikistan,Tajikistan,external_id_rate_region_EMEA
external_rate_country_Tanzania,Tanzania,external_id_rate_region_EMEA
external_rate_country_Thailand,Thailand,external_id_rate_region_APAC
external_rate_country_Timor-Leste,Timor-Leste,external_id_rate_region_APAC
external_rate_country_Togo,Togo,external_id_rate_region_EMEA
external_rate_country_Tokelau,Tokelau,external_id_rate_region_APAC
external_rate_country_Tonga,Tonga,external_id_rate_region_APAC
external_rate_country_Trinidad_and_Tobago,Trinidad and Tobago,external_id_rate_region_LATAM
external_rate_country_Tunisia,Tunisia,external_id_rate_region_EMEA
external_rate_country_Turkey,Turkey,external_id_rate_region_EMEA
external_rate_country_Turkmenistan,Turkmenistan,external_id_rate_region_EMEA
external_rate_country_Turks_and_Caicos_Islands,Turks and Caicos Islands,external_id_rate_region_LATAM
external_rate_country_Tuvalu,Tuvalu,external_id_rate_region_APAC
external_rate_country_Uganda,Uganda,external_id_rate_region_EMEA
external_rate_country_Ukraine,Ukraine,external_id_rate_region_EMEA
external_rate_country_United_Arab_Emirates,United Arab Emirates,external_id_rate_region_EMEA
external_rate_country_United_Kingdom,United Kingdom,external_id_rate_region_EMEA
external_rate_country_United_States,United States,external_id_rate_region_LATAM
external_rate_country_Uruguay,Uruguay,external_id_rate_region_LATAM
external_rate_country_Uzbekistan,Uzbekistan,external_id_rate_region_EMEA
external_rate_country_Vanuatu,Vanuatu,external_id_rate_region_APAC
external_rate_country_Vatican_City,Vatican City,external_id_rate_region_EMEA
external_rate_country_Venezuela,Venezuela,external_id_rate_region_LATAM
"external_rate_country_Virgin_Islands,_British","Virgin Islands, British",external_id_rate_region_LATAM
external_rate_country_U_S_Virgin_Islands,U.S. Virgin Islands,external_id_rate_region_LATAM
external_rate_country_Vietnam,Vietnam,external_id_rate_region_APAC
external_rate_country_Yemen,Yemen,external_id_rate_region_EMEA
external_rate_country_Wallis_and_Futuna,Wallis and Futuna,external_id_rate_region_EMEA
external_rate_country_West_Bank,West Bank,external_id_rate_region_EMEA
external_rate_country_Zambia,Zambia,external_id_rate_region_EMEA
external_rate_country_Zimbabwe,Zimbabwe,external_id_rate_region_EMEA
